,Raw,Txt,encoding
천하장사마돈나,,Y,utf-8
청연(靑燕),,Y,utf-8
청춘만화,,Y,utf-8
첼로-홍미주일가 살인사건,,Y,utf-8
초록,,Y,utf-8
초록 물고기,,Y,utf-8
최강로맨스,,Y,utf-8
추격자,,Y,utf-8
친절한 금자씨-시나리오,Y,Y,utf-8
친절한 금자씨-시나리오,Y,Y,utf-8
타짜,,Y,utf-8
태극기,,Y,utf-8
태양의후예 10회,,Y,utf-8
태풍,,Y,utf-8
택시운전사,Y,,utf-8
터널,Y,,utf-8
퇴마록시나리오,,Y,utf-8
트럭,Y,,utf-8
티끌모아_로맨스,Y,,utf-8
파랑주의보,,Y,utf-8
파송송계란탁,Y,,utf-8
파수꾼,,Y,utf-8
판도라,,Y,utf-8
편지,,Y,utf-8
폰,,Y,utf-8
품행제로,,Y,utf-8
플라스틱트리,,Y,utf-8
플라이대디,,Y,utf-8
피터팬의공식,Y,,utf-8
해변의여인,Y,,utf-8
해운대(최종),Y,,utf-8
해운대(최종),Y,,utf-8
해피에로크리스마스,,Y,utf-8
핸드폰,Y,,utf-8
행복,Y,,utf-8
허브,Y,,utf-8
헬로우고스트,,Y,utf-8
혈의 누,,Y,utf-8
호로비츠를위하여,,Y,utf-8
홍길동의_후예,,Y,utf-8
홍당무,Y,,utf-8
홍반장,Y,,utf-8
화이_2012_1122_final,,Y,utf-8
황해part1,Y,,utf-8
황해part2,Y,,utf-8
효자동,,Y,utf-8
blue.txt,,,cp949
haru.txt,,,cp949
쉬리.txt,,,cp949
